Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1571.9206917469005,OUT049
FDW14,1466.7893858425668,OUT017
NCN55,575.6735374672847,OUT010
FDQ58,2489.937131095645,OUT017
FDY38,5841.69769612864,OUT027
FDH56,1932.02040639306,OUT046
FDL48,740.0369477906613,OUT018
FDC48,2153.2778347816375,OUT027
FDN33,1533.7373044571746,OUT045
FDA36,3058.187179980987,OUT017
FDT44,1961.0207737075355,OUT017
FDQ56,1452.219870391665,OUT045
NCC54,575.8223983669636,OUT019
FDU11,2019.2946620539658,OUT049
DRL59,831.1500118433448,OUT013
FDM24,2484.031163982065,OUT049
FDI57,3104.376298508387,OUT045
DRC12,3057.0447171366777,OUT018
NCM42,2908.7834528804106,OUT027
FDA46,509.06765720601027,OUT010
FDA31,2848.9555808501887,OUT013
NCJ31,3880.568393835343,OUT035
FDG52,746.8940934618117,OUT046
NCL19,287.36153132590965,OUT019
FDS10,3012.181026127212,OUT035
FDX22,568.3414256715488,OUT010
NCF19,745.1077765369271,OUT035
NCE06,2556.4104466857902,OUT046
DRC27,3901.567863522514,OUT046
FDE21,1932.02040639306,OUT035
NCR42,131.50285831536618,OUT019
FDX51,3059.8038281880745,OUT018
NCR06,662.5780549705291,OUT018
FDU31,5841.69769612864,OUT027
FDU59,2568.169250152012,OUT017
FDR03,5841.69769612864,OUT027
FDS49,2065.8310973456983,OUT027
FDD48,269.82052258976967,OUT010
NCF18,3059.9474163180694,OUT017
NCD43,2848.334344211438,OUT027
NCD54,2109.238397090115,OUT018
FDY19,270.21978498500675,OUT010
NCY54,2848.9555808501887,OUT017
NCL19,2462.6298668767686,OUT018
FDP23,573.5861305655199,OUT010
FDC26,1704.1869315584738,OUT013
FDR14,131.50285831536618,OUT010
NCS41,3055.8772480758635,OUT035
FDF41,3907.192475713111,OUT035
FDU34,2019.2946620539658,OUT046
DRH11,934.7927836065226,OUT046
FDM03,1569.6327616513547,OUT013
FDS31,3021.7718920873776,OUT017
FDJ20,2019.2946620539658,OUT017
FDV44,5182.774799362595,OUT027
FDG02,3058.187179980987,OUT049
FDA09,2973.306959925054,OUT013
FDT04,709.1352528176232,OUT013
FDL58,574.8654829826221,OUT019
FDE52,1501.4250683131,OUT045
FDW12,2462.6298668767686,OUT035
FDL51,3610.9109887181153,OUT017
NCY42,2998.2511772661232,OUT027
FDR07,1535.4105676789723,OUT017
FDN40,2485.386058355681,OUT045
FDB35,2709.5193548678467,OUT027
FDA22,2568.169250152012,OUT017
NCL06,4070.540168195446,OUT046
FDI35,3021.7718920873776,OUT013
NCW42,3758.479767579354,OUT045
NCX06,2977.605827813012,OUT049
FDC37,2884.9834280309087,OUT027
FDZ14,2019.2946620539658,OUT018
DRG49,3890.054346798146,OUT049
NCG06,4035.1276446550974,OUT045
DRC36,2848.9555808501887,OUT045
FDV21,280.4012864120956,OUT019
FDB53,2477.083879366873,OUT046
DRP47,572.4544621829697,OUT019
FDA14,2469.664265690032,OUT013
DRC24,2485.386058355681,OUT035
FDW21,1552.8231274519626,OUT018
NCH29,1535.4105676789723,OUT046
FDU58,3058.187179980987,OUT013
FDY27,2856.904241520043,OUT017
FDV56,1576.6153016571989,OUT035
FDT59,3817.877644618698,OUT046
FDB23,3777.3865556782384,OUT046
FDR49,741.0122315204967,OUT045
FDB03,576.2366081463675,OUT010
FDN39,2568.169250152012,OUT045
FDX02,5841.69769612864,OUT027
FDQ16,2874.296487743794,OUT027
FDU35,1547.1571585032857,OUT018
NCT29,2019.2946620539658,OUT013
FDZ27,746.8940934618117,OUT046
FDN57,2035.9454970751883,OUT017
FDA03,2469.664265690032,OUT018
FDZ36,3058.187179980987,OUT045
NCU05,1463.7653059911615,OUT013
FDT39,2484.031163982065,OUT018
FDK60,1535.4105676789723,OUT017
FDZ25,2746.1587437345115,OUT017
FDG12,2019.2946620539658,OUT046
DRB01,504.4368338510351,OUT019
NCC43,5841.69769612864,OUT027
FDX13,572.6310689085122,OUT019
FDM22,863.4317033319718,OUT049
FDJ03,1038.9125745051124,OUT027
FDU14,3814.516236533693,OUT018
FDB33,384.28894696834914,OUT010
FDP27,3058.187179980987,OUT046
FDO38,160.12036988917203,OUT010
FDE28,5841.69769612864,OUT027
FDO27,1531.2714836652565,OUT035
DRL23,2872.371686999324,OUT027
FDS28,933.8977151140671,OUT046
FDX24,1542.055996881088,OUT013
FDZ02,1535.4105676789723,OUT035
FDL46,1932.02040639306,OUT045
FDS60,4785.611471882339,OUT027
NCO06,660.7515813451153,OUT017
FDO16,1444.3749917672822,OUT035
FDC60,1466.7893858425668,OUT049
FDA48,3535.4505944989774,OUT018
